,timestamp,open,high,low,close,adjusted close,volume,dividend amount,Symbol
11,2023-09-29,77.22,77.73,73.25,74.94,72.6367,103713764,0.75,GILD
12,2023-08-31,76.09,81.43,75.1,76.48,73.4176,120546465,0.0,GILD
13,2023-07-31,76.255,81.13,74.33,76.14,73.0912,118610066,0.0,GILD
14,2023-06-30,77.54,79.53,74.96,77.07,73.984,126515679,0.75,GILD
15,2023-05-31,82.47,82.55,76.01,76.94,73.1553,113405199,0.0,GILD
16,2023-04-28,82.935,87.37,80.08,82.21,78.1661,100907161,0.0,GILD
17,2023-03-31,80.34,83.14,76.525,82.97,78.8887,132321927,0.75,GILD
18,2023-02-28,84.01,87.82,79.92,80.53,75.8555,129061462,0.0,GILD
19,2023-01-31,85.08,88.29,82.11,83.94,79.0676,126113577,0.0,GILD
20,2022-12-30,88.2,89.74,81.81,85.85,80.8667,158185772,0.73,GILD
21,2022-11-30,78.26,88.2,77.16,87.83,82.0542,173749217,0.0,GILD
22,2022-10-31,62.4,79.6058,61.445,78.46,73.3004,179369455,0.0,GILD
23,2022-09-30,63.41,68.88,61.61,61.69,57.6332,176966277,0.73,GILD
24,2022-08-31,59.77,66.895,59.27,63.47,58.6394,141400240,0.0,GILD
25,2022-07-29,61.47,63.195,59.51,59.75,55.2025,116401079,0.0,GILD
26,2022-06-30,65.27,65.34,57.165,61.81,57.1057,163050290,0.73,GILD
27,2022-05-31,59.55,65.46,59.15,64.85,59.167,178172792,0.0,GILD
28,2022-04-29,59.44,64.28,58.58,59.34,54.1398,161860204,0.0,GILD
29,2022-03-31,59.94,62.25,57.185,59.45,54.2402,265745374,0.73,GILD
30,2022-02-28,68.79,68.8,59.18,60.4,54.4237,252356347,0.0,GILD
31,2022-01-31,72.27,73.395,66.78,68.68,61.8844,181263818,0.0,GILD
32,2021-12-31,69.03,74.12,68.65,72.61,65.4256,152790582,0.71,GILD
33,2021-11-30,64.82,71.32,64.64,68.93,61.4906,154118739,0.0,GILD
34,2021-10-29,68.6035,69.41,64.055,64.88,57.8777,132404993,0.0,GILD
35,2021-09-30,72.6812,72.72,69.67,69.85,62.3113,136540726,0.71,GILD
36,2021-08-31,68.34,73.3399,67.83,72.78,64.2773,131982975,0.0,GILD
37,2021-07-30,68.75,70.4,67.37,68.29,60.3119,124997680,0.0,GILD
38,2021-06-30,66.44,69.705,65.12,68.86,60.8153,151235075,0.71,GILD
39,2021-05-28,63.9206,70.11,63.77,66.11,57.7845,144863079,0.0,GILD
40,2021-04-30,65.75,67.09,61.945,63.47,55.477,144134462,0.0,GILD
41,2021-03-31,61.76,66.66,61.49,64.63,56.4909,198819360,0.71,GILD
42,2021-02-26,66.03,69.36,61.39,61.4,53.0558,146151585,0.0,GILD
43,2021-01-29,58.67,68.38,57.9291,65.6,56.685,192151825,0.0,GILD
44,2020-12-31,60.82,61.975,56.56,58.26,50.3425,201591295,0.68,GILD
45,2020-11-30,58.78,61.64,57.825,60.67,51.8359,172520587,0.0,GILD
46,2020-10-30,63.33,64.99,57.04,58.15,49.6829,229058573,0.0,GILD
47,2020-09-30,66.335,67.92,61.645,63.19,53.989,198776076,0.68,GILD
48,2020-08-31,69.725,72.31,64.98,66.75,56.452,192813726,0.0,GILD
49,2020-07-31,77.1,78.94,68.52,69.53,58.8031,164257467,0.0,GILD
50,2020-06-30,75.47,79.31,71.91,76.94,65.0699,232262697,0.68,GILD
51,2020-05-29,81.2,81.76,72.3,77.83,65.2138,281563006,0.0,GILD
52,2020-04-30,74.32,85.79,71.38,84.0,70.3836,570296999,0.0,GILD
53,2020-03-31,70.32,85.97,64.41,74.76,62.6414,582298378,0.68,GILD
54,2020-02-28,67.74,78.88,64.07,69.36,57.5462,448792786,0.0,GILD
55,2020-01-31,65.53,66.24,62.23,63.2,52.4354,192437723,0.0,GILD
56,2019-12-31,67.25,68.16,64.35,64.98,53.9122,151075617,0.63,GILD
57,2019-11-29,63.97,67.65,62.38,67.24,55.2724,116232861,0.0,GILD
58,2019-10-31,63.6,66.75,60.89,63.71,52.3707,137169465,0.0,GILD
59,2019-09-30,63.15,68.16,62.27,63.38,52.0994,126712669,0.63,GILD
60,2019-08-30,65.66,66.78,62.19,63.54,51.7397,127659575,0.0,GILD
61,2019-07-31,68.0,69.35,64.16,65.52,53.352,127133529,0.0,GILD
62,2019-06-28,62.5,69.98,62.18,67.56,55.0131,135073217,0.63,GILD
63,2019-05-31,64.82,67.8,62.17,62.25,50.217,139500308,0.0,GILD
64,2019-04-30,65.54,68.07,61.55,65.04,52.4677,148562046,0.0,GILD
65,2019-03-29,65.62,66.47,61.96,65.01,52.4435,156281554,0.63,GILD
66,2019-02-28,70.0,70.5,63.96,65.02,51.9465,140625023,0.0,GILD
67,2019-01-31,61.76,70.32,61.5,70.01,55.9331,164295881,0.0,GILD
68,2018-12-31,72.74,72.9,60.32,62.55,49.9731,168061417,0.57,GILD
69,2018-11-30,68.2,72.8,65.81,71.94,56.9927,143885597,0.0,GILD
70,2018-10-31,77.32,79.61,66.5,68.18,54.014,169254382,0.0,GILD
71,2018-09-28,75.36,77.24,71.49,77.21,61.1678,116210830,0.57,GILD
72,2018-08-31,77.5,78.62,71.9,75.73,59.5374,139514688,0.0,GILD
73,2018-07-31,70.7,79.04,70.3,77.83,61.1884,141008748,0.0,GILD
74,2018-06-29,67.62,72.28,67.52,70.84,55.693,151175266,0.57,GILD
75,2018-05-31,72.29,72.83,64.27,67.4,52.5674,188686726,0.0,GILD
76,2018-04-30,74.93,76.25,71.87,72.23,56.3345,121957960,0.0,GILD
77,2018-03-29,78.94,82.72,72.73,75.39,58.7991,149950261,0.57,GILD
78,2018-02-28,83.2,84.58,76.02,78.73,60.967,166602996,0.0,GILD
79,2018-01-31,72.19,89.54,71.72,83.8,64.8931,187574537,0.0,GILD
80,2017-12-29,74.44,77.15,71.61,71.64,55.4766,151526128,0.52,GILD
81,2017-11-30,74.69,75.85,70.05,74.78,57.5059,152030961,0.0,GILD
82,2017-10-31,81.21,84.23,72.76,74.96,57.6443,183415636,0.0,GILD
83,2017-09-29,83.36,86.2666,79.21,81.02,62.3045,193346208,0.52,GILD
84,2017-08-31,76.35,84.13,71.82,83.71,63.9689,229593896,0.0,GILD
85,2017-07-31,71.11,76.49,68.54,76.09,58.1459,150343885,0.0,GILD
86,2017-06-30,65.01,72.17,63.759,70.78,54.0881,227046828,0.52,GILD
87,2017-05-31,68.54,69.16,63.88,64.89,49.1935,159248783,0.0,GILD
88,2017-04-28,67.85,68.96,65.7,68.55,51.9682,141251071,0.0,GILD
89,2017-03-31,70.82,70.99,66.8,67.92,51.4906,192635657,0.52,GILD
90,2017-02-28,72.72,73.3,65.38,70.48,53.0245,206070038,0.0,GILD
91,2017-01-31,72.34,76.98,69.78,72.45,54.5066,202211178,0.0,GILD
92,2016-12-30,73.97,76.32,70.83,71.61,53.8746,196595894,0.47,GILD
93,2016-11-30,73.63,80.0,71.391,73.7,55.101,212976006,0.0,GILD
94,2016-10-31,78.63,78.97,72.21,73.63,55.0486,187664372,0.0,GILD
95,2016-09-30,78.43,82.07,76.67,79.12,59.1532,208188079,0.47,GILD
96,2016-08-31,79.81,82.1,77.58,78.38,58.2472,228671809,0.0,GILD
97,2016-07-29,83.15,88.85,79.37,79.47,59.0572,235444520,0.0,GILD
98,2016-06-30,87.23,88.24,77.92,83.42,61.9926,197851519,0.47,GILD
99,2016-05-31,88.7,89.45,81.28,87.06,64.3358,196072467,0.0,GILD
100,2016-04-29,91.34,103.1,87.8,88.21,65.1857,232799166,0.0,GILD
101,2016-03-31,87.9,94.31,86.85,91.86,67.883,257100505,0.43,GILD
102,2016-02-29,82.32,91.5,81.89,87.25,64.1712,281942029,0.0,GILD
103,2016-01-29,99.77,100.68,82.33,83.0,61.0454,266490667,0.0,GILD
104,2015-12-31,106.35,107.38,98.66,101.19,74.4239,185176282,0.43,GILD
105,2015-11-30,108.76,109.9501,101.64,105.96,77.6001,151250608,0.0,GILD
106,2015-10-30,98.54,111.11,94.37,108.13,79.1893,273467673,0.0,GILD
107,2015-09-30,102.24,113.31,93.19,97.94,71.7266,254296518,0.43,GILD
108,2015-08-31,118.5,120.3703,86.0,105.07,76.6469,230649443,0.0,GILD
109,2015-07-31,118.11,119.72,108.0,117.86,85.977,235375131,0.0,GILD
110,2015-06-30,113.17,123.37,112.52,117.08,85.408,233901994,0.43,GILD
111,2015-05-29,103.2,113.43,99.66,112.27,81.601,241173655,0.0,GILD
112,2015-04-30,98.16,105.75,95.38,100.51,73.0535,218678742,0.0,GILD
113,2015-03-31,104.3,104.45,98.07,98.13,71.3236,237939448,0.0,GILD
114,2015-02-27,106.1,107.31,95.81,103.53,75.2485,271940827,0.0,GILD
115,2015-01-30,95.14,107.77,93.18,104.83,76.1934,301545422,0.0,GILD
116,2014-12-31,100.0,109.49,85.95,94.26,68.5108,440803022,0.0,GILD
117,2014-11-28,112.31,112.8,98.37,100.32,72.9154,302462884,0.0,GILD
118,2014-10-31,106.99,116.83,91.73,112.0,81.4047,358629293,0.0,GILD
119,2014-09-30,108.17,110.64,97.54,106.45,77.3708,316625416,0.0,GILD
120,2014-08-29,91.0,108.769,90.6868,107.56,78.1776,270230300,0.0,GILD
